Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight,Event_Year
ATL00LA092,2000-09-17,"ATLANTA, GA",United States,,,,,NON-FATAL,,N853AS,Bombardier,CRJ-200,SCHD,(DBA: DELTA CONNECTION),0,1,50.0,VMC,CRUISE,2000
DCA08FA018,2007-12-16,"Providence, RI",United States,,,KPVD,Theodore F. Green State,NON-FATAL,Substantial,N470ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines,0,0,34.0,IMC,LANDING,2007
DCA10CA018,2009-12-18,"Dallas, TX",United States,32.896944,-97.038055,DFW,Dallas/Fort Worth Intl Airport,NON-FATAL,Substantial,N515AE,Bombardier,CL-600,SCHD,American Eagle,0,0,3.0,VMC,STANDING,2009
ENG12IA004,2011-10-23,"Atlanta, GA",United States,,,ATL,Hartsfield-Jackson Atlanta Int,INCIDENT,,N751EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,,,LANDING,2011
DCA11CA084A,2011-07-14,"Boston, MA",United States,42.353333,-71.014444,BOS,GENERAL EDWARD LAWRENCE LOGAN,NON-FATAL,Substantial,N132EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC (DBA: ATLANTIC SOUTHEAST AIRLINES -Delta Connection),0,0,291.0,VMC,STANDING,2011
ATL02FA113,2002-06-02,"Atlanta, GA",United States,33.645277,-84.433056,ATL,Atlanta Hartsfield,NON-FATAL,Substantial,N849AS,Bombardier,CL-600,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,53.0,VMC,LANDING,2002
DCA09FA033,2009-02-28,"Tallahassee, FL",United States,30.396389,-84.350278,TLH,Tallahassee Regional Airport,NON-FATAL,Substantial,N830AS,Bombardier,CRJ-200,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,2.0,,STANDING,2009
CHI01LA066,2001-01-08,"Detroit, MI",United States,,,DTW,DETROIT METROPOLITAN WAYNE CO.,NON-FATAL,Substantial,N784CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,31.0,VMC,STANDING,2001
NYC01IA072,2001-01-03,"Covington, KY",United States,,,,,INCIDENT,Minor,N933CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,46.0,VMC,APPROACH,2001
ENG14IA029,2014-09-13,"Hodeida, Yemen",Yemen,14.764444,42.981945,,,INCIDENT,Minor,7O-FAB,Bombardier,CRJ-700,SCHD,Felix Airways,0,0,,UNK,TAKEOFF,2014
